  , ,pop1, pop2 ,mo_rap, mo_len, mo_sol
,177,196523979.52754,3.88326,1542955.40425,0.00442,-300811308.85355
,178,215968192.96259,3.86268,1695616.41978,0.00429,-330573782.78925
,179,237336229.82629,3.84221,1863381.81805,0.00416,-363280975.72053
,180,260818434.49009,3.82185,2047746.03675,0.00403,-399224240.10620
,181,286623984.12434,3.80159,2250351.37422,0.00391,-438723755.01146
,182,314982752.02796,3.78144,2473002.61891,0.00380,-482131378.23145
,183,346147355.31715,3.76140,2717683.12622,0.00368,-529833780.60594
,184,380395405.21387,3.74147,2986572.48608,0.00357,-582255890.44514
,185,418031979.97930,3.72164,3282065.93847,0.00346,-639864678.74931
,186,459392342.52098,3.70191,3606795.71003,0.00336,-703173318.94050
,187,504844926.88181,3.68229,3963654.46165,0.00326,-772745758.16098
,188,554794620.21434,3.66278,4355821.05602,0.00316,-849201740.85888
,189,609686369.47565,3.64336,4786788.87461,0.00307,-933222329.41085
,190,670009144.97115,3.62405,5260396.93639,0.00297,-1025555970.95871
,191,736300296.05393,3.60485,5780864.09543,0.00289,-1127025164.50303
,192,809150337.78002,3.58574,6352826.62202,0.00280,-1238533787.64335
,193,889208211.15840,3.56674,6981379.50211,0.00271,-1361075148.23094
,194,977187063.85375,3.54783,7672121.82299,0.00263,-1495740832.65752
,195,1073870602.83568,3.52903,8431206.64934,0.00255,-1643730429.59949
,196,1180120075.56341,3.51032,9265395.83417,0.00248,-1806362215.83588
,197,1296881941.89341,3.49172,10182120.25273,0.00240,-1985084899.32836
,198,1425196305.05078,3.47321,11189545.99603,0.00233,-2181490524.16926
,199,1566206176.76651,3.45481,12296647.11355,0.00226,-2397328652.35383
,200,1721167659.11357,3.43649,13513285.55320,0.00219,-2634521948.70648
,201,1891461133.74071,3.41828,14850299.01059,0.00213,-2895183307.79001
,202,2078603558.17644,3.40016,16319597.47017,0.00206,-3181634675.36259
,203,2284261978.73758,3.38214,17934269.29814,0.00200,-3496427732.04233
,204,2510268380.41389,3.36422,19708697.83242,0.00194,-3842366623.42732
,205,2758636006.01027,3.34639,21658689.50793,0.00188,-4222532939.14887
,206,3031577289.91574,3.32865,23801614.65881,0.00183,-4640313163.36904
,207,3331523566.25140,3.31101,26156562.25161,0.00177,-5099428841.24853
,208,3661146726.95577,3.29346,28744509.92796,0.00172,-5603969730.10509
,209,4023383022.73545,3.27601,31588510.87133,0.00167,-6158430230.56959
,210,4421459218.89773,3.25864,34713899.16250,0.00162,-6767749422.26495
,211,4858921339.05869,3.24137,38148515.45308,0.00157,-7437355060.64179
,212,5339666252.77291,3.22419,41922954.96732,0.00152,-8173211926.89035
,213,5867976388.46433,3.20711,46070840.04131,0.00148,-8981874961.62482
,214,6448557880.87760,3.19011,50629119.62747,0.00143,-9870547655.64991
